"journal","jif2021","source"
"Int J Soc Psychiatry",10.468,"JCR"
"International Journal of Nursing Studies Advances",0,"Not to be found"
"Internet Interv",5.358,"JCR"
"J Addict Med",4.647,"JCR"
"J Adv Nurs",3.057,"JCR"
"J Affect Disord",6.533,"JCR"
"J Alzheimers Dis",4.16,"JCR"
"J Autism Dev Disord",4.345,"JCR"
"J Cereb Blood Flow Metab",6.597,"JCR"
"J Child Health Care",1.896,"JCR"
"J Child Psychol Psychiatry",8.265,"JCR"
"J Clin Med",4.964,"JCR"
"J Clin Nurs",4.423,"JCR"
"J Ethn Subst Abuse",1.331,"JCR"
"J Med Internet Res",7.077,"JCR"
"J Neural Transm (Vienna)",3.85,"JCR"
"J Neuroimaging",2.324,"JCR"
"J Neuroimmunol",3.221,"JCR"
"J Neuroinflammation",9.589,"JCR"
"J Neurol",6.682,"JCR"
"J Neurol Sci",4.553,"JCR"
"J Neurosurg",5.526,"JCR"
"J Nucl Med",11.082,"JCR"
"J Oral Pathol Med",3.539,"JCR"
"J Pers Med",3.508,"JCR"
"J Psychiatr Res",5.25,"JCR"
"J Psychopharmacol",4.562,"JCR"
"J Psychosom Res",4.62,"JCR"
"J Relig Health",2.732,"JCR"
"J Stud Alcohol Drugs",3.346,"JCR"
"J Trauma Stress",3.952,"JCR"
"JAMA Intern Med",44.424,"JCR"
"JAMA Psychiatry",25.936,"JCR"
"JMIR Form Res",2.38,"resurchify"
"Journal of Pragmatics",1.86,"JCR"
"Lancet Psychiatry",77.056,"JCR"
"Medicine (Baltimore)",1.817,"JCR"
"MethodsX",0.43,"JCR"
"Mol Psychiatry",13.437,"JCR"
"Mult Scler Relat Disord",4.808,"JCR"
"Neuromolecular Med",4.103,"JCR"
"Neurooncol Pract",0.61,"JCR"
"Neuropathol Appl Neurobiol",6.25,"JCR"
"Neuropsychopharmacology",8.304,"JCR"
"Neurosurg Rev",2.8,"JCR"
"Nord J Psychiatry",2.099,"JCR"
"Nordisk Alkohol Nark",1.443,"JCR"
"Nordisk sygeplejeforskning",0.08,"JCR"
"Nurs Philos",1.8,"JCR"
"PLoS Med",11.613,"JCR"
"PLoS One",3.752,"JCR"
"Pediatr Allergy Immunol",5.464,"JCR"
"Pharmacoepidemiol Drug Saf",2.732,"JCR"
"Pharmacopsychiatry",2.544,"JCR"
"Philosophical Psychology",1.573,"JCR"
"Prog Neuropsychopharmacol Biol Psychiatry",5.201,"JCR"
"Psychol Med",10.592,"JCR"
"Psychopharmacology (Berl)",4.415,"JCR"
"Religions",1.79,"JCR"
"Scand J Psychol",2.312,"JCR"
"Scand J Rheumatol",3.057,"JCR"
"Scand J Work Environ Health",5.492,"JCR"
"Scandinavian Journal of Forensic Science",0.3,"JCR"
"Scandinavian Journal of Public Health",3.199,"JCR"
"Scandinavian Journal of Sport and Exercise Psychology",0,"Not to be found"
"Scandinavian Journal of Work and Organizational Psychology",0,"Not to be found"
"Schizophr Res",4.662,"JCR"
"Sci Rep",4.997,"JCR"
"Soc Psychiatry Psychiatr Epidemiol",4.519,"JCR"
"Stem Cell Res",1.587,"JCR"
"Subst Use Misuse",2.362,"JCR"
"Sucht",0.29,"JCR"
"The Journal of Special Education",1.968,"JCR"
"Thorax",9.203,"JCR"
"Top Magn Reson Imaging",0,"Not to be found"
"Transl Psychiatry",7.989,"JCR"
"World Neurosurg",2.21,"JCR"
"World Psychiatry",79.683,"JCR"
